,Gross Profit/Rev.,Cost of Revenue/Rev.,Operating Expenses/Rev.,"Selling, General & Administrative/Rev.",Research & Development/Rev.,Operating Income (Loss)/Rev.,Non-Operating Income (Loss)/Rev.,Net Income/Rev.
47,0.2984658078554422,-0.7015341921445578,-0.29564339887418994,-0.1757619715866984,-0.11988142728749153,0.0028224089812522667,-0.01772283628451144,-0.014900427303259172
48,0.29363460165255534,-0.7063653983474446,-0.2975492196266449,-0.18901101703560136,-0.10853820259104356,-0.003914617974089565,-0.014013567275323881,-0.017928185249413444
49,0.33918236245582567,-0.6608176375441743,-0.2997953223098682,-0.17737199978535673,-0.12242332252451149,0.039387040145957425,-0.005028785195746997,0.03283275456308596
50,0.31833620321953837,-0.6816637967804616,-0.24751583703259034,-0.13771241107302148,-0.10980342595956884,0.07082036618694808,-0.012011395291280286,0.05683427855273482
51,0.3335238365559063,-0.6664761634440937,-0.24522751071101173,-0.12333101916666986,-0.12189649154434186,0.08829632584489458,-0.0077364765086512756,0.11980223464115713
52,0.43491338611509983,-0.5650866138849002,-0.20748883814725014,-0.11498996937192836,-0.09249886877532178,0.22742454796784967,-0.006342704843210952,0.19342241891146106
53,0.32816630213298936,-0.6718336978670106,-0.3684257753350906,-0.18184809227375545,-0.18657768306133513,-0.04025947320210121,0.003701418877236274,-0.008023479707625297
54,0.24205226539251434,-0.7579477346074857,-0.4974433127960099,-0.2700710423739469,-0.22737227042206296,-0.25539104740349555,-0.013831258644536652,-0.34603818265643993
76,0.27132656895903795,-0.728673431040962,-0.1936615307528498,-0.1460603783038958,-0.04760115244895403,0.07766503820618816,0.025429036702993863,0.09845922585494175
77,0.2302815588290136,-0.7697184411709864,-0.2923736714525452,-0.2121946671639008,-0.08017900428864441,-0.062092112623531606,0.04046242774566474,-0.006899123624836845
78,0.2791710205503309,-0.7208289794496691,-0.2708115639150122,-0.19313827934517588,-0.0776732845698363,0.008359456635318705,0.019505398815743643,0.011320097526994078
79,0.2751731915579185,-0.7248268084420815,-0.27114548090865154,-0.19526341227646207,-0.07588206863218946,0.0040277106492669565,0.013371999355566296,0.010955372966006122
80,0.27261746587752145,-0.7273825341224786,-0.23203285420944558,-0.1727261746587752,-0.05930667955067037,0.04058461166807585,0.006884889479405725,0.03212948423722672
81,0.2901442825353528,-0.7098557174646472,-0.17220587179671237,-0.13380231139185988,-0.03840356040485249,0.11793841073864045,0.01184408872299189,0.09532696863111047
82,0.2898265596686513,-0.7101734403313487,-0.1628268185348175,-0.1259642764690655,-0.036862542065752006,0.1269997411338338,0.018897230132021745,0.1029769609112089
83,0.33966508372906773,-0.6603349162709322,-0.15600266600016663,-0.12342747646421728,-0.032575189535949345,0.1836624177289011,0.024952095309505956,0.1456302591018912
84,0.3520044810754581,-0.6479955189245419,-0.12989784214878236,-0.10031740951161612,-0.029580432637166254,0.22210663892667573,0.016537302285881943,0.1632125043343736
85,0.40139843841044165,-0.5986015615895584,-0.12777065610068755,-0.09670201608204172,-0.031068640018645847,0.2736277823097541,0.007598182030066426,0.1919356718331197
86,0.39377539287083174,-0.6062246071291683,-0.11190494442315063,-0.08458413185128402,-0.027320812571866616,0.2818704484476811,0.0023763894212341895,0.21484093522422384
87,0.40478895878945764,-0.5952110412105424,-0.09263826917569677,-0.0701992628107419,-0.022439006364954873,0.31215068961376086,0.0038337536605418986,0.2394664153941376
88,0.4387123980882766,-0.5612876019117233,-0.08575280496843612,-0.06415007539550693,-0.02160272957292918,0.35295959311984054,0.003335292764587114,0.26665090602397323
89,0.3762448072084723,-0.6237551927915277,-0.08955005558481072,-0.06336668421976478,-0.02618337136504593,0.2866947516236616,0.006763793809607396,0.21670469837926393
